Ormitte Lennytit
Mirise Natishardarde
Irannettanett Lina
Natalyahet Parle
Gullertren Gultinette
Therendia Batina
Krenete Karisette
Leonica Sabirin
Sigertis Jannin
Valerina Ranni
Fiere Jasma
Friete Edli
Batinettettene Yvettandah
Vallinaut Ane
Ane Barbelinahe
